Sudoku,Size,CE-Size,No. Atoms,No. Clauses,Seconds
../instances/experiments/extable9-1.txt,9,5,81,81,0.017
../instances/experiments/extable9-2.txt,9,5,81,81,0.007
../instances/experiments/extable9-3.txt,9,5,81,81,0.006
../instances/experiments/extable9-4.txt,9,5,267,908,0.011
../instances/experiments/extable9-5.txt,9,5,466,2173,0.01
../instances/experiments/extable9-6.txt,9,5,81,81,0.009
../instances/experiments/extable9-7.txt,9,5,81,81,0.005
../instances/experiments/extable16-1.txt,16,5,1557,7319,0.023
../instances/experiments/extable16-2.txt,16,5,1610,7735,0.024
../instances/experiments/extable16-3.txt,16,5,1809,8549,0.033
../instances/experiments/extable25-1.txt,25,5,4767,23385,2.028
../instances/experiments/extable25-2.txt,25,5,4201,20050,1.157
../instances/experiments/extable36-1.txt,36,5,8265,39013,31.32
../instances/experiments/extable36-2.txt,36,5,7857,36752,5.677
../instances/experiments/extable36-3.txt,36,5,8422,40253,103.036
../instances/experiments/extable36-4.txt,36,5,7802,36619,4.814
../instances/experiments/extable36-5.txt,36,5,7961,37534,30.395
../instances/experiments/extable36-6.txt,36,5,7262,33509,2.042
../instances/experiments/extable36-7.txt,36,5,8238,39008,1.086
../instances/experiments/extable49-1.txt,49,5,14035,65434,13.827
../instances/experiments/extable49-2.txt,49,5,13386,62234,15.31
../instances/experiments/extable49-3.txt,49,5,13882,65123,42.792
../instances/experiments/extable49-4.txt,49,5,13362,61693,38.31
../instances/experiments/extable49-5.txt,49,5,14769,70020,96.571
../instances/experiments/extable49-6.txt,49,5,13881,64735,28
../instances/experiments/extable49-7.txt,49,5,13660,63818,1.515
../instances/experiments/extable49-8.txt,49,5,14965,71499,17.897
../instances/experiments/extable64-1.txt,64,5,21289,97732,4.547
../instances/experiments/extable64-2.txt,64,5,22228,102580,4.452
../instances/experiments/extable81-1.txt,81,5,32685,149037,1.861
../instances/experiments/extable81-2.txt,81,5,33444,152968,3.834
../instances/experiments/extable81-3.txt,81,5,34260,158132,13.882
../instances/experiments/extable81-4.txt,81,5,35028,162100,21.915
../instances/experiments/extable81-5.txt,81,5,31696,143197,31.089
../instances/experiments/extable81-6.txt,81,5,32448,147406,82.4
../instances/experiments/extable81-7.txt,81,5,30842,137591,28.646
../instances/experiments/extable81-8.txt,81,5,32081,145506,1.98
../instances/experiments/extable81-9.txt,81,5,32993,149766,4.917
../instances/experiments/extable81-10.txt,81,5,33774,154859,14.314
../instances/experiments/extable100-1.txt,100,5,45025,200052,12.248
../instances/experiments/extable100-2.txt,100,5,83613,453972,1.768
../instances/experiments/extable121-1.txt,121,5,68155,307165,5.461
../instances/experiments/extable121-2.txt,121,5,66113,295321,8.841
../instances/experiments/extable121-3.txt,121,5,67529,303478,2.149
../instances/experiments/extable121-4.txt,121,5,65369,290562,2.453
../instances/experiments/extable144-1.txt,144,5,88933,392385,8.281
../instances/experiments/extable144-2.txt,144,5,87227,383644,17.06
../instances/experiments/extable144-3.txt,144,5,87227,383644,16.651
../instances/experiments/extable169-1.txt,169,5,121589,537382,6.432
../instances/experiments/extable169-2.txt,169,5,113592,490411,14.359
../instances/experiments/extable169-3.txt,169,5,117968,515072,50.477
../instances/experiments/extable169-4.txt,169,5,112065,482225,4.287
../instances/experiments/extable169-5.txt,169,5,113178,487753,5.97
../instances/experiments/extable169-6.txt,169,5,114657,496123,5.231
../instances/experiments/extable169-7.txt,169,5,112899,486265,4.227
../instances/experiments/extable225-1.txt,225,5,194186,832077,26.918
../instances/experiments/extable225-2.txt,225,5,190010,808784,12.079
../instances/experiments/extable225-3.txt,225,5,203058,886028,141.244
../instances/experiments/extable225-4.txt,225,5,184228,775141,9.697
